title,country,release_year,type,is_recent
The Knight and the Princess,"Egypt, Saudi Arabia",2019,Movie,False
Wazir,India,2016,Movie,False
White Boy,United States,2017,Movie,False
At Eternity's Gate,"Ireland, Switzerland, United Kingdom, France, United States",2018,Movie,False
Not a Game,United Kingdom,2020,Movie,True
7 Yards: The Chris Norton Story,United States,2021,Movie,True
Octonauts & the Ring of Fire,"China, United Kingdom",2021,Movie,True
Marked,Nigeria,2021,Movie,True
A Week Away,United States,2021,Movie,True
Bad Trip,United States,2021,Movie,True
Elizabeth and Margaret: Love and Loyalty,United Kingdom,2020,Movie,True
Keeping the Bees,Turkey,2020,Movie,True
Ni de coña,Spain,2020,Movie,True
Pagglait,India,2021,Movie,True
Caught by a Wave,Italy,2021,Movie,True
Secret Magic Control Agency,"Russia, United States",2021,Movie,True
Seaspiracy,United States,2021,Movie,True
Loyiso Gola: Unlearning,South Africa,2021,Movie,True
Any Crybabies Around?,Japan,2020,Movie,True
Hospital,Taiwan,2020,Movie,True
Jiu Jitsu,United States,2020,Movie,True
The Yin Yang Master,China,2021,Movie,True
Who's the Boss,Nigeria,2020,Movie,True
Deadly Illusions,United States,2021,Movie,True
Get the Goat,Brazil,2021,Movie,True
Nate Bargatze: The Greatest Average American,United States,2021,Movie,True
Skylines,"United Kingdom, United States",2020,Movie,True
The Present,"United Kingdom,",2020,Movie,True
Catch.er,Nigeria,2017,Movie,False
Operation Varsity Blues: The College Admissions Scandal,United States,2021,Movie,True
RebellComedy: Straight Outta the Zoo,Germany,2021,Movie,True
C/O Kaadhal,India,2021,Movie,True
The BFG,"United States, India, United Kingdom",2016,Movie,False
The Last Blockbuster,United States,2020,Movie,True
Çarsi Pazar,Turkey,2015,Movie,False
Just In Time,Kenya,2020,Movie,True
Mucize,Turkey,2015,Movie,False
Paper Lives,Turkey,2021,Movie,True
YES DAY,United States,2021,Movie,True
You're Everything To Me,Turkey,2016,Movie,False
Coven of Sisters,"Spain, Argentina",2021,Movie,True
Generasi 90an: Melankolia,Indonesia,2020,Movie,True
The Block Island Sound,United States,2020,Movie,True
Bombay Rose,"India, United Kingdom, France, Qatar",2021,Movie,True
Aelay,India,2021,Movie,True
Dogwashers,Colombia,2021,Movie,True
Fate of Alakada,Nigeria,2020,Movie,True
Sentinelle,France,2021,Movie,True
Mariposa,Indonesia,2020,Movie,True
Moxie,United States,2021,Movie,True
Indoo Ki Jawani,India,2020,Movie,True
Biggie: I Got a Story to Tell,United States,2021,Movie,True
How to Be Really Bad,Germany,2018,Movie,False
LEGO Marvel Spider-Man: Vexed by Venom,United States,2019,Movie,False
Bigfoot Family,"Belgium, France",2021,Movie,True
Captain Fantastic,United States,2016,Movie,False
Crazy About Her,Spain,2021,Movie,True
No Escape,"United States, Thailand",2015,Movie,False
The Girl on the Train,India,2021,Movie,True
Geez & Ann,Indonesia,2021,Movie,True
"Blue, Painful, Fragile",Japan,2020,Movie,True
Brian Regan: On the Rocks,United States,2021,Movie,True
Made You Look: A True Story About Fake Art,Canada,2020,Movie,True
Pelé,United Kingdom,2021,Movie,True
Red,India,2021,Movie,True
The Conjuring 2,"Canada, United States, United Kingdom",2016,Movie,False
Classmates Minus,Taiwan,2020,Movie,True
Fate: The Winx Saga - The Afterparty,United Kingdom,2021,Movie,True
Operation Finale,United States,2018,Movie,False
I Care a Lot,"United Kingdom, United States",2021,Movie,True
Love,India,2020,Movie,True
Perú: Tesoro escondido,Uruguay,2017,Movie,False
Eeb Allay Ooo!,India,2019,Movie,False
No Escape Room,United States,2018,Movie,False
The Most Unknown,United States,2018,Movie,False
Animals on the Loose: A You vs. Wild Movie,United States,2021,Movie,True
The Resurrection of Gavin Stone,United States,2017,Movie,False
"My Teacher, My Obsession",United States,2018,Movie,False
Namaste Wahala,Nigeria,2021,Movie,True
Monsoon,United Kingdom,2020,Movie,True
Hate by Dani Rovira,Spain,2021,Movie,True
Mundina Nildana,India,2019,Movie,False
To All The Boys: Always And Forever,United States,2021,Movie,True
Xico's Journey,Mexico,2021,Movie,True
Growing up and other problems,Spain,2018,Movie,False
Layla Majnun,Indonesia,2020,Movie,True
Red Dot,Sweden,2021,Movie,True
Squared Love,Poland,2021,Movie,True
The Misadventures of Hedi and Cokeman,France,2021,Movie,True
The World We Make,United States,2019,Movie,False
War Dogs,"United States, Cambodia, Romania",2016,Movie,False
Monster Run,China,2020,Movie,True
Blanche Gardin: I talk to myself,France,2017,Movie,False
Doob: No Bed of Roses,Bangladesh,2017,Movie,False
Little Big Women,Taiwan,2020,Movie,True
Malcolm & Marie,United States,2021,Movie,True
Space Sweepers,South Korea,2021,Movie,True
"Strip Down, Rise Up",United States,2021,Movie,True
The Last Paradiso,Italy,2020,Movie,True
The Yin-Yang Master: Dream Of Eternity,China,2021,Movie,True
All My Friends Are Dead,Poland,2020,Movie,True
Black Beach,"Spain, Belgium, United States",2020,Movie,True
"Our Lady of San Juan, Four Centuries of Miracles",Mexico,2020,Movie,True
Rocks,United Kingdom,2019,Movie,False
Fatima,"Portugal, United States",2020,Movie,True
Hell Fest,United States,2018,Movie,False
Below Zero,Spain,2021,Movie,True
Finding ‘Ohana,United States,2021,Movie,True
The Dig,United Kingdom,2021,Movie,True
June & Kopi,Indonesia,2021,Movie,True
Accomplice,United States,2021,Movie,True
Kilometers and Kilometers,India,2020,Movie,True
Penguin Bloom,"Australia, United States",2021,Movie,True
Black Rose,Nigeria,2018,Movie,False
So My Grandma’s a Lesbian!,"Portugal, Spain",2020,Movie,True
The White Tiger,"India, United States",2021,Movie,True
Friendsgiving,United States,2020,Movie,True
The Shadow of Violence,"United Kingdom, Ireland",2020,Movie,True
Cut Throat City,United States,2020,Movie,True
Sightless,United States,2020,Movie,True
A Monster Calls,"United Kingdom, Spain, United States",2016,Movie,False
Death of Me,"United States, Thailand",2020,Movie,True
Radium Girls,United States,2018,Movie,False
Double Dad,Brazil,2020,Movie,True
Outside the Wire,"Hungary, United States",2021,Movie,True
Pinkfong & Baby Shark's Space Adventure,"United States, South Korea",2019,Movie,False
The Vanished,United States,2020,Movie,True
Tribhanga - Tedhi Medhi Crazy,India,2021,Movie,True
What Would Sophia Loren Do?,United States,2021,Movie,True
Wish You,South Korea,2021,Movie,True
The Heartbreak Club,Indonesia,2020,Movie,True
An Imperfect Murder,United States,2017,Movie,False
Al acecho,Argentina,2019,Movie,False
"Crack: Cocaine, Corruption & Conspiracy",United States,2021,Movie,True
Charming,"Canada, United States, Cayman Islands",2021,Movie,True
Creating The Queen's Gambit,United States,2021,Movie,True
Is Love Enough? Sir,"India, France",2018,Movie,False
Stuck Apart,Turkey,2021,Movie,True
100% Halal,Indonesia,2020,Movie,True
Leap!,"France, Canada",2016,Movie,False
Pieces of a Woman,"Canada, Hungary, United States",2020,Movie,True
Tony Parker: The Final Shot,France,2020,Movie,True
Asphalt Burning,Norway,2020,Movie,True
Full Out 2: You Got This!,United States,2020,Movie,True
London Heist,United Kingdom,2017,Movie,False
The Creative Brain,United States,2019,Movie,False
The Minimalists: Less Is Now,United States,2021,Movie,True
What Happened to Mr. Cha?,South Korea,2021,Movie,True
Alaska Is a Drag,United States,2017,Movie,False
Tarung Sarung,Indonesia,2020,Movie,True
Too Handsome to Handle,Indonesia,2019,Movie,False
The Rope Curse 2,Taiwan,2020,Movie,True
Cops and Robbers,United States,2020,Movie,True
Death to 2020,United States,2020,Movie,True
DNA,"France, Algeria",2020,Movie,True
The Magic School Bus Rides Again In the Zone,Canada,2020,Movie,True
AK vs AK,India,2020,Movie,True
Isa Pa with Feelings,Philippines,2019,Movie,False
We Can Be Heroes,United States,2020,Movie,True
Bridezilla,Indonesia,2019,Movie,False
Cemara's Family,Indonesia,2018,Movie,False
"Hello, Love, Goodbye",Philippines,2019,Movie,False
The Midnight Sky,United States,2020,Movie,True
Your Name Engraved Herein,Taiwan,2020,Movie,True
After We Collided,United States,2020,Movie,True
London Hughes: To Catch a D*ck,United States,2020,Movie,True
QLIMAX THE SOURCE,Netherlands,2020,Movie,True
Shaun the Sheep: The Farmer’s Llamas,United Kingdom,2020,Movie,True
"Ariana grande: excuse me, i love you",United States,2020,Movie,True
The Con Is On,"United States, United Kingdom",2018,Movie,False
Mohamed Hussein,Egypt,2019,Movie,False
Rhys Nicholson Live at the Athenaeum,United Kingdom,2020,Movie,True
Guest House,United States,2020,Movie,True
Ma Rainey's Black Bottom,United States,2020,Movie,True
An Unremarkable Christmas,Colombia,2020,Movie,True
Braven,Canada,2018,Movie,False
Eggnoid: Love & Time Portal,Indonesia,2019,Movie,False
Love You to the Stars and Back,Philippines,2017,Movie,False
Sakaling Maging Tayo,Philippines,2019,Movie,False
Incarnate,United States,2016,Movie,False
Nocturnal Animals,United States,2016,Movie,False
Vir Das: Outside In - The Lockdown Special,India,2020,Movie,True
Grizzlies,Canada,2018,Movie,False
The Professor and the Madman,"Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong",2019,Movie,False
A California Christmas,United States,2020,Movie,True
The Netflix Afterparty: The Best Shows of The Worst Year,United States,2020,Movie,True
Canvas,United States,2020,Movie,True
Giving Voice,United States,2020,Movie,True
The Prom,United States,2020,Movie,True
Torbaaz,India,2020,Movie,True
Funny Boy,"Canada, United States",2020,Movie,True
Just The Way You Are,Philippines,2016,Movie,False
The Panti Sisters,Philippines,2019,Movie,False
"Kalel, 15",Philippines,2019,Movie,False
Rose Island,Italy,2020,Movie,True
André & his olive tree,Singapore,2020,Movie,True
Bobbleheads The Movie,United States,2020,Movie,True
Emicida: AmarElo - It’s All For Yesterday,Brazil,2020,Movie,True
Spirit Riding Free: Ride Along Adventure,United States,2020,Movie,True
Triple 9,United States,2016,Movie,False
Ava,United States,2020,Movie,True
Mighty Express: A Mighty Christmas,Canada,2020,Movie,True
Captain Underpants Mega Blissmas,United States,2020,Movie,True
Christmas Crossfire,Germany,2020,Movie,True
Leyla Everlasting,Turkey,2020,Movie,True
MANK,United States,2020,Movie,True
You Are My Home,United States,2020,Movie,True
Between Maybes,Philippines,2019,Movie,False
Break,"France, Belgium",2018,Movie,False
Just Another Christmas,Brazil,2020,Movie,True
Ari Eldjárn: Pardon My Icelandic,Iceland,2020,Movie,True
Fierce,Poland,2020,Movie,True
Hazel Brugger: Tropical,Germany,2020,Movie,True
Angela's Christmas Wish,United States,2020,Movie,True
